"ALWAYS PUT TRANSLATABLE STRINGS IN A SINGLE FILE, EVEN IF YOU DON'T WANT TO TRANSLATE THEM TO OTHER LANGUAGES",""
"THIS WAY OTHER DEVELOPERS USING YOUR MODULE WILL BE ABLE TO TRANSLATE THE MODULE WITHOUT SEARCHING FOR ALL THE STRINGS",""
"LizardMedia Sample config","LizardMedia Sample config"
"Sample","Sample"
"General Configuration","General Configuration"
"Sample bool field","Sample bool field"
"Sample text field","Sample text field"
"Comment for a field","Comment for a field"
"Back","Back"
"Delete Sample","Delete Sample"
"Are you sure you want to delete this sample?","Are you sure you want to delete this sample?"
"Reset","Reset"
"Save Sample","Save Sample"
"Samples","Samples"
"LizardMedia Sample manage","LizardMedia Sample manage"
"Edit","Edit"
"Delete","Delete"
"Title","Title"
"Description","Description"
"General","General"
"New Sample","New Sample"
"ID","ID"
"Created At","Created At"
